0,1,1,1,1,1,500,0,51350,220.475,0.300519,0,0,1,27.9091,328,0,1
0,1,1,1,1,2,500,0,51350,220.475,0.300519,0,0,1,19.5383,265,0,0
0,1,1,1,1,3,500,0,51350,220.475,0.300519,0,0,1,15.6082,299,0,0
0,1,1,1,1,4,500,0,51350,220.475,0.300519,0,0,1,20.7054,290,0,0
0,1,1,1,1,5,500,0,51350,220.475,0.300519,0,0,1,25.5072,311,0,0
0,1,1,1,1,6,500,0,51350,220.475,0.300519,0,0,1,15.5056,284,0,0
0,1,1,1,1,7,500,0,51350,220.475,0.300519,0,0,1,12.1619,281,0,0
0,1,1,1,1,8,500,0,51350,220.475,0.300519,0,0,1,21.8341,311,0,0
0,1,1,1,1,9,500,0,51350,220.475,0.300519,0,0,1,11.2688,302,0,0
0,1,1,1,1,10,500,0,51350,220.475,0.300519,0,0,1,13.8296,290,0,0
0,1,1,1,1,11,500,0,51350,220.475,0.300519,0,0,1,16.1008,309,0,0
0,1,1,1,1,12,500,0,51350,220.475,0.300519,0,0,1,10.4698,331,0,0
0,1,1,1,1,13,500,0,51350,220.475,0.300519,0,0,1,9.61111,323,0,0
0,1,1,1,1,14,500,0,51350,220.475,0.300519,0,0,1,15.8861,323,0,0
0,1,1,1,1,15,500,0,51350,220.475,0.300519,0,0,1,9.43937,318,0,0
0,1,1,1,1,16,500,0,51350,220.475,0.300519,0,0,1,11.4635,310,0,0
0,1,1,1,1,17,500,0,51350,220.475,0.300519,0,0,1,7.61375,296,0,0
0,1,1,1,1,18,500,0,51350,220.475,0.300519,0,0,1,8.99639,298,0,0
0,1,1,1,1,19,500,0,51350,220.475,0.300519,0,0,1,10.3623,305,0,0
0,1,1,1,1,20,500,0,51350,220.475,0.300519,0,0,1,7.56781,307,0,0
0,1,1,1,1,21,500,0,51350,220.475,0.300519,0,0,1,15.4177,311,0,0
0,1,1,1,1,22,500,0,51350,220.475,0.300519,0,0,1,22.9215,297,0,0
0,1,1,1,1,23,500,0,51350,220.475,0.300519,0,0,1,10.5767,291,0,0
0,1,1,1,1,24,500,0,51350,220.475,0.300519,0,0,1,15.2326,304,0,0
0,1,1,1,1,25,500,0,51350,220.475,0.300519,0,0,1,13.4987,289,0,0
0,1,1,1,1,26,500,0,51350,220.475,0.300519,0,0,1,13.6207,302,0,0
0,1,1,1,1,27,500,0,51350,220.475,0.300519,0,0,1,15.506,316,0,0
0,1,1,1,1,28,500,0,51350,220.475,0.300519,0,0,1,9.01607,309,0,0
0,1,1,1,1,29,500,0,51350,220.475,0.300519,0,0,1,11.1578,305,0,0
0,1,1,1,1,30,500,0,51350,220.475,0.300519,0,0,1,9.27471,295,0,0
0,1,1,1,1,31,500,0,51350,220.475,0.300519,0,0,1,4.29663,302,0,0
0,1,1,1,1,32,500,0,51350,220.475,0.300519,0,0,1,9.88102,301,0,0
0,1,1,1,1,33,500,0,51350,220.475,0.300519,0,0,1,5.76442,314,0,0
0,1,1,1,1,34,500,0,51350,220.475,0.300519,0,0,1,9.60072,305,0,0
0,1,1,1,1,35,500,0,51350,220.475,0.300519,0,0,1,13.6519,304,0,0
0,1,1,1,1,36,500,0,51350,220.475,0.300519,0,0,1,4.9457,310,0,0
0,1,1,1,1,37,500,0,51350,220.475,0.300519,0,0,1,7.82373,320,0,0
0,1,1,1,1,38,500,0,51350,220.475,0.300519,0,0,1,6.50543,286,0,0
0,1,1,1,1,39,500,0,51350,220.475,0.300519,0,0,1,12.4086,310,0,0
0,1,1,1,1,40,500,0,51350,220.475,0.300519,0,0,1,9.76533,291,0,0
0,1,1,1,1,41,500,0,51350,220.475,0.300519,0,0,1,13.1953,293,0,0
0,1,1,1,1,42,500,0,51350,220.475,0.300519,0,0,1,8.85957,312,0,0
0,1,1,1,1,43,500,0,51350,220.475,0.300519,0,0,1,7.91152,289,0,0
0,1,1,1,1,44,500,0,51350,220.475,0.300519,0,0,1,6.15909,320,0,0
0,1,1,1,1,45,500,0,51350,220.475,0.300519,0,0,1,13.2905,253,0,0
0,1,1,1,1,46,500,0,51350,220.475,0.300519,0,0,1,8.85986,259,0,0
0,1,1,1,1,47,500,0,51350,220.475,0.300519,0,0,1,15.189,264,0,0
0,1,1,1,1,48,500,0,51350,220.475,0.300519,0,0,1,8.9187,286,0,0
0,1,1,1,1,49,500,0,51350,220.475,0.300519,0,0,1,18.4645,259,0,0
0,1,1,1,1,50,500,0,51350,220.475,0.300519,0,0,1,10.0357,285,0,0
0,1,1,1,1,51,500,0,51350,220.475,0.300519,0,0,1,19.7311,263,0,0
0,1,1,1,1,52,500,0,51350,220.475,0.300519,0,0,1,19.7943,258,0,0
0,1,1,1,1,53,500,0,51350,220.475,0.300519,0,0,1,17.2987,280,0,0
0,1,1,1,1,54,500,0,51350,220.475,0.300519,0,0,1,13.2788,261,0,0
